file_scan	perm	uid	gid	size	size_on_disk	blocks	atime	mtime	ctime	inode	file_name
ifs.am.hou.backup.apps.3rdparty	33277	829	829	24518160	24518656	57859	1738539320	1520969736	1524751794	20442155334	./CoViz/coviz10/toolkit/cv_3grd2segy/output.sgy
ifs.am.hou.backup.apps.3rdparty	33277	27658	829	87894144	87900160	206835	1698135954	1569329275	1722416736	55919705678	./OpenWorks_acttest/EPWOW5A1/tlsadmin/bench/SEGY/class3d.sgy
ifs.am.hou.backup.apps.3rdparty	33277	27658	829	22096572	22102016	52019	1722414652	1569329278	1722416737	56274361418	./OpenWorks_acttest/EPWOW5A1/tlsadmin/bench/SEGY/class2d.sgy
ifs.am.hou.backup.apps.3rdparty	33277	27658	27658	34932	40960	243	1731925893	1460413132	1491946715	15644357507	./OpenWorks_acttest/EPWOW5A1/Linux_RHEL6/R5000.10.6/SynTool/testdata/testseis.sgy
ifs.am.hou.backup.apps.3rdparty	33204	829	829	2227968	2228224	5427	1544290560	988755932	1291750652	6435650129	./promax/SeisSpace/data/chevron/simple.ghost.sgy
ifs.am.hou.backup.apps.3rdparty	33204	829	829	70560	73728	435	1544290560	988755932	1291750652	6435650128	./promax/SeisSpace/data/chevron/chevron_test.sgy
ifs.am.hou.backup.apps.3rdparty	33204	829	829	6293520	6299648	14915	1544290561	1275656355	1291750651	6441788209	./promax/SeisSpace/data/protest.segy
ifs.am.hou.backup.apps.3rdparty	33204	829	829	463920	466944	1475	1544290569	997123907	1291750651	6441788207	./promax/SeisSpace/data/kirtime3din.segy
ifs.am.hou.backup.apps.3rdparty	33204	829	829	1119568	1122304	2755	1544290573	982622541	1291750648	6441788204	./promax/SeisSpace/data/3Dstacked.segy
ifs.am.hou.backup.apps.3rdparty	33204	829	829	44542512	44548096	104851	1544290574	1157132613	1291750652	6435650127	./promax/SeisSpace/data/manhat.segy
ifs.am.hou.backup.apps.3rdparty	33277	49412	49412	18584844	18587648	44131	1544250474	1384975646	1384975646	6468980260	./osp/CRS_TEST/3dMIGRATION/Small3D_depth.segy
ifs.am.hou.backup.apps.3rdparty	33200	59500	59655	79953920	79953920	187923	1629216787	1629216788	1662478975	39349680508	./xdigi/marty331/AutoSeismicQC/data/auger.vt
ifs.am.hou.backup.apps.3rdparty	33200	59500	59500	0	0	3	1632169343	1632169343	1632169343	39892560018	./xdigi/jpg/empty_data.vds
ifs.am.hou.backup.apps.3rdparty	33188	59500	59500	12966923	12967936	30547	1676333101	1666740410	1666740410	46805559514	./xdigi/jpg/test_output/demo-scarborough_m1_inline_prob	_m1_nFaaBTXNQ54.vds
ifs.am.hou.backup.apps.3rdparty	33188	59500	59500	11189200	11190272	26563	1676333101	1666815632	1666815632	46754703483	./xdigi/jpg/test_output/April-6-Output_120_ProbabilityScanner_Fault_g8gQr5Y2TAk.vds
ifs.am.hou.backup.apps.3rdparty	33188	59500	59500	95545970	95551488	224723	1676333101	1666815649	1666815649	46754703486	./xdigi/jpg/test_output/seismicCube_merged_16_120_ProbabilityScanner_Fault_g8gQr5Y2TAk.vds
ifs.am.hou.backup.apps.3rdparty	33188	59500	59500	8971037	8978432	21171	1676333101	1666741566	1666741566	46704458225	./xdigi/jpg/test_output/test_fault_out_ySxkP9fpRDk_ProbabilityScanner_Layer1_ySxkP9fpRDk.vds
ifs.am.hou.backup.apps.3rdparty	33188	59500	59500	10773049	10780672	25763	1676333102	1666743965	1666743965	46639836216	./xdigi/jpg/test_output/demo-scarborough_faults_crossline_prob_faults_jQA3EKFLREg.vds
ifs.am.hou.backup.apps.3rdparty	33188	59500	59500	180093823	180101120	423667	1676333102	1666815663	1666815663	46659315792	./xdigi/jpg/test_output/seismicCube_merged_16_inline_prob_Fault_g8gQr5Y2TAk.vds
ifs.am.hou.backup.apps.3rdparty	33188	59500	59500	310757449	310763520	730803	1676333102	1666738904	1666738905	46700269162	./xdigi/jpg/test_output/Mar-31-output_inline_prob_Fault_bz0VBV-uQSQ.vds
ifs.am.hou.backup.apps.3rdparty	33188	59500	59500	46538165	46538752	109715	1676333102	1666741550	1666741550	46773856814	./xdigi/jpg/test_output/test_fault_out_inline_prob_Layer1_ySxkP9fpRDk.vds
ifs.am.hou.backup.apps.3rdparty	33188	59500	59500	310757449	310763520	730899	1676333102	1666738884	1666738885	46556363365	./xdigi/jpg/test_output/Mar-31-output_crossline_prob_Fault_bz0VBV-uQSQ.vds
ifs.am.hou.backup.apps.3rdparty	33188	59500	59500	86665881	86671360	204211	1676333102	1666815641	1666815641	46754703485	./xdigi/jpg/test_output/April-6-Output_inline_prob_	Fault_g8gQr5Y2TAk.vds
ifs.am.hou.backup.apps.3rdparty	33188	59500	59500	22908653	22913024	54211	1676333102	1666740391	1666740391	46631938465	./xdigi/jpg/test_output/demo-scarborough_faults_merge_inline_crossline_prob_faults_jQA3EKFLREg.vds
ifs.am.hou.backup.apps.3rdparty	33188	59500	59500	15063759	15065088	35667	1676333102	1666740374	1666740374	46631938463	./xdigi/jpg/test_output/demo-scarborough_faults_inline_prob_faults_jQA3EKFLREg.vds
ifs.am.hou.backup.apps.3rdparty	33188	59500	59500	611096	614400	1763	1676333102	1635407139	1635407139	40378421856	./xdigi/jpg/Fault_Amplitude_trimmed_Probability_ae23b676ce2e4ae189eaacb07eda447d.vds
ifs.am.hou.backup.apps.3rdparty	33188	59500	59500	95545970	95551488	224675	1676333102	1665073280	1665073280	46214850642	./xdigi/jpg/test_ouput/seismicCube_merged_16_120_	ProbabilityScanner_Fault_g8gQr5Y2TAk.vds
ifs.am.hou.backup.apps.3rdparty	33188	59500	59500	180093823	180101120	423619	1676333102	1665073296	1665073296	46214850643	./xdigi/jpg/test_ouput/seismicCube_merged_16_inline_prob_Fault_g8gQr5Y2TAk.vds
ifs.am.hou.backup.apps.3rdparty	33200	59500	59500	10000	16384	99	1632169073	1632169073	1632169073	38566619099	./xdigi/jpg/invalid_data.vds
ifs.am.hou.backup.apps.3rdparty	33188	59500	59655	86663845	86671360	204211	1676333102	1661872503	1661872504	45752503715	./xdigi/jpg/output/April_6_inline_prob_Fault_g8gQr5Y2TAk.vds
ifs.am.hou.backup.apps.3rdparty	33188	59500	59655	86665881	86671360	204259	1676333102	1659623704	1659623704	45253960153	./xdigi/jpg/output/pipe9demo/April-6-Output_inline_prob_Fault_g8gQr5Y2TAk.vds
ifs.am.hou.backup.apps.3rdparty	33188	59500	59655	543606	548864	1635	1676333102	1635463042	1635463042	40473681793	./xdigi/jpg/output/Fault_Amplitude_trimmed_Probability_ae23b676ce2e4ae189eaacb07eda447d.vds
ifs.am.hou.backup.apps.3rdparty	33188	59500	59655	3597887	3604480	8627	1676333103	1635407071	1635407071	40378422007	./xdigi/jpg/output/Fault_Amplitude_trimmed_Probability_a2e7fe38482446569c6796e2c6500cbb.vds
